CODICE ATECO 2025;PREFLABEL_IT;PREFLABEL_EN;PREFLABEL_DE
A;AGRICOLTURA, SILVICOLTURA E PESCA;AGRICULTURE, FORESTRY AND FISHING;LAND- UND FORSTWIRTSCHAFT, FISCHEREI
01;Produzioni vegetali e animali, caccia e servizi connessi;Crop and animal production, hunting and related service activities;Landwirtschaft, Jagd und damit verbundene Tätigkeiten
01.1;Coltivazione di colture agricole non permanenti;Growing of non-perennial crops;Anbau ein- und zweijähriger Pflanzen
01.11;Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso;Growing of cereals, other than rice, leguminous crops and oil seeds;Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten
01.11.0;Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso;Growing of cereals, other than rice, leguminous crops and oil seeds;Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten
01.11.00;Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso;Growing of cereals, other than rice, leguminous crops and oil seeds;Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten
01.12;Coltivazione di riso;Growing of rice;Anbau von Reis
01.12.0;Coltivazione di riso;Growing of rice;Anbau von Reis
01.12.00;Coltivazione di riso;Growing of rice;Anbau von Reis
01.13;Coltivazione di ortaggi e meloni, radici e tuberi;Growing of vegetables and melons, roots and tubers;Anbau von Gemüse und Melonen sowie Wurzeln und Knollen
01.13.1;Coltivazione di ortaggi e meloni;Growing of vegetables and melons;Anbau von Gemüse und Melonen
01.13.11;Coltivazione di ortaggi e meloni in piena aria;Growing of vegetables and melons in open fields;Freilandanbau von Gemüse und Melonen
01.13.12;Coltivazione di ortaggi e meloni in colture protette fuori suolo;Growing of vegetables and melons in greenhouses as soil-less culture;Geschützter erdeloser Anbau von Gemüse und Melonen
01.13.13;Coltivazione di ortaggi e meloni in altre colture protette, escluse colture fuori suolo;Growing of vegetables and melons in greenhouses, other than soil-less culture;Geschützter Anbau von Gemüse und Melonen, ausgenommen erdeloser Anbau
01.13.2;Coltivazione di radici, incluse barbabietole da zucchero;Growing of roots, including sugar beet;Anbau von Wurzeln, einschließlich Zuckerrüben
01.13.20;Coltivazione di radici, incluse barbabietole da zucchero;Growing of roots, including sugar beet;Anbau von Wurzeln, einschließlich Zuckerrüben
01.13.3;Coltivazione di tuberi, incluse patate;Growing of tubers, including potatoes;Anbau von Knollen, einschließlich Kartoffeln
01.13.30;Coltivazione di tuberi, incluse patate;Growing of tubers, including potatoes;Anbau von Knollen, einschließlich Kartoffeln
01.14;Coltivazione di canna da zucchero;Growing of sugar cane;Anbau von Zuckerrohr
01.14.0;Coltivazione di canna da zucchero;Growing of sugar cane;Anbau von Zuckerrohr
01.14.00;Coltivazione di canna da zucchero;Growing of sugar cane;Anbau von Zuckerrohr
01.15;Coltivazione di tabacco;Growing of tobacco;Anbau von Tabak
01.15.0;Coltivazione di tabacco;Growing of tobacco;Anbau von Tabak
01.15.00;Coltivazione di tabacco;Growing of tobacco;Anbau von Tabak
01.16;Coltivazione di piante tessili;Growing of fibre crops;Anbau von Faserpflanzen
01.16.0;Coltivazione di piante tessili;Growing of fibre crops;Anbau von Faserpflanzen
01.16.00;Coltivazione di piante tessili;Growing of fibre crops;Anbau von Faserpflanzen
01.19;Coltivazione di altre colture agricole non permanenti;Growing of other non-perennial crops;Anbau von sonstigen ein- und zweijährigen Pflanzen
01.19.1;Coltivazione di fiori;Growing of flowers;Blumenanbau
01.19.11;Coltivazione di fiori in piena aria;Growing of flowers in open fields;Freilandanbau von Blumen
01.19.12;Coltivazione di fiori in colture protette fuori suolo;Growing of flowers in greenhouses as soil-less culture;Geschützter erdeloser Anbau von Blumen
01.19.13;Coltivazione di fiori in altre colture protette, escluse colture fuori suolo;Growing of flowers in greenhouses, other than soil-less culture;Geschützter Anbau von Blumen, ausgenommen erdeloser Anbau
01.19.9;Coltivazione di piante da foraggio e di altre colture agricole non permanenti n.c.a.;Growing of crops for fodder and of other non-perennial crops n.e.c.;Anbau von Futterpflanzen und sonstigen ein- und zweijährigen Kulturen a. n. g.
01.19.90;Coltivazione di piante da foraggio e di altre colture agricole non permanenti n.c.a.;Growing of crops for fodder and of other non-perennial crops n.e.c.;Anbau von Futterpflanzen und sonstigen ein- und zweijährigen Kulturen a. n. g.
01.2;Coltivazione di colture agricole permanenti;Growing of perennial crops;Anbau mehrjähriger Pflanzen
01.21;Coltivazione di uva;Growing of grapes;Anbau von Wein- und Tafeltrauben
01.21.0;Coltivazione di uva;Growing of grapes;Anbau von Wein- und Tafeltrauben
01.21.00;Coltivazione di uva;Growing of grapes;Anbau von Wein- und Tafeltrauben
01.22;Coltivazione di frutta di origine tropicale e subtropicale;Growing of tropical and subtropical fruits;Anbau von tropischen und subtropischen Früchten
01.22.0;Coltivazione di frutta di origine tropicale e subtropicale;Growing of tropical and subtropical fruits;Anbau von tropischen und subtropischen Früchten
01.22.00;Coltivazione di frutta di origine tropicale e subtropicale;Growing of tropical and subtropical fruits;Anbau von tropischen und subtropischen Früchten
01.23;Coltivazione di agrumi;Growing of citrus fruits;Anbau von Zitrusfrüchten
01.23.0;Coltivazione di agrumi;Growing of citrus fruits;Anbau von Zitrusfrüchten
01.23.00;Coltivazione di agrumi;Growing of citrus fruits;Anbau von Zitrusfrüchten
01.24;Coltivazione di pomacee e frutta a nocciolo;Growing of pome fruits and stone fruits;Anbau von Kern- und Steinobst
01.24.0;Coltivazione di pomacee e frutta a nocciolo;Growing of pome fruits and stone fruits;Anbau von Kern- und Steinobst
01.24.00;Coltivazione di pomacee e frutta a nocciolo;Growing of pome fruits and stone fruits;Anbau von Kern- und Steinobst
01.25;Coltivazione di altri alberi da frutto, frutti di bosco e frutta in guscio;Growing of other tree and bush fruits and nuts;Anbau von sonstigem Obst und Nüssen
01.25.0;Coltivazione di altri alberi da frutto, frutti di bosco e frutta in guscio;Growing of other tree and bush fruits and nuts;Anbau von sonstigem Obst und Nüssen
01.25.00;Coltivazione di altri alberi da frutto, frutti di bosco e frutta in guscio;Growing of other tree and bush fruits and nuts;Anbau von sonstigem Obst und Nüssen
01.26;Coltivazione di frutti oleosi;Growing of oleaginous fruits;Anbau von ölhaltigen Früchten
01.26.0;Coltivazione di frutti oleosi;Growing of oleaginous fruits;Anbau von ölhaltigen Früchten
01.26.00;Coltivazione di frutti oleosi;Growing of oleaginous fruits;Anbau von ölhaltigen Früchten
01.27;Coltivazione di piante per la produzione di bevande;Growing of beverage crops;Anbau von Pflanzen zur Herstellung von Getränken
01.27.0;Coltivazione di piante per la produzione di bevande;Growing of beverage crops;Anbau von Pflanzen zur Herstellung von Getränken
01.27.00;Coltivazione di piante per la produzione di bevande;Growing of beverage crops;Anbau von Pflanzen zur Herstellung von Getränken
01.28;Coltivazione di spezie, piante aromatiche e farmaceutiche;Growing of spices, aromatic, drug and pharmaceutical crops;Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke
01.28.0;Coltivazione di spezie, piante aromatiche e farmaceutiche;Growing of spices, aromatic, drug and pharmaceutical crops;Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke
01.28.00;Coltivazione di spezie, piante aromatiche e farmaceutiche;Growing of spices, aromatic, drug and pharmaceutical crops;Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke
01.29;Coltivazione di altre colture agricole permanenti;Growing of other perennial crops;Anbau sonstiger mehrjähriger Pflanzen
01.29.0;Coltivazione di altre colture agricole permanenti;Growing of other perennial crops;Anbau sonstiger mehrjähriger Pflanzen
01.29.00;Coltivazione di altre colture agricole permanenti;Growing of other perennial crops;Anbau sonstiger mehrjähriger Pflanzen
01.3;Riproduzione delle piante;Plant propagation;Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken
01.30;Riproduzione delle piante;Plant propagation;Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken
01.30.0;Riproduzione delle piante;Plant propagation;Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken
01.30.00;Riproduzione delle piante;Plant propagation;Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken
01.4;Allevamento di animali;Animal production;Tierhaltung
01.41;Allevamento di bovini da latte;Raising of dairy cattle;Haltung von Milchkühen
01.41.0;Allevamento di bovini da latte;Raising of dairy cattle;Haltung von Milchkühen
01.41.00;Allevamento di bovini da latte;Raising of dairy cattle;Haltung von Milchkühen
01.42;Allevamento di altri bovini e bufalini;Raising of other cattle and buffaloes;Haltung von sonstigen Rindern
01.42.0;Allevamento di altri bovini e bufalini;Raising of other cattle and buffaloes;Haltung von sonstigen Rindern
01.42.00;Allevamento di altri bovini e bufalini;Raising of other cattle and buffaloes;Haltung von sonstigen Rindern
01.43;Allevamento di cavalli e altri equini;Raising of horses and other equines;Haltung von Pferden und Eseln
01.43.0;Allevamento di cavalli e altri equini;Raising of horses and other equines;Haltung von Pferden und Eseln
01.43.00;Allevamento di cavalli e altri equini;Raising of horses and other equines;Haltung von Pferden und Eseln
01.44;Allevamento di cammelli e camelidi;Raising of camels and camelids;Haltung von Kamelen
01.44.0;Allevamento di cammelli e camelidi;Raising of camels and camelids;Haltung von Kamelen
01.44.00;Allevamento di cammelli e camelidi;Raising of camels and camelids;Haltung von Kamelen
01.45;Allevamento di ovini e caprini;Raising of sheep and goats;Haltung von Schafen und Ziegen
01.45.0;Allevamento di ovini e caprini;Raising of sheep and goats;Haltung von Schafen und Ziegen
01.45.00;Allevamento di ovini e caprini;Raising of sheep and goats;Haltung von Schafen und Ziegen
01.46;Allevamento di suini;Raising of swine/pigs;Haltung von Schweinen
01.46.0;Allevamento di suini;Raising of swine/pigs;Haltung von Schweinen
01.46.00;Allevamento di suini;Raising of swine/pigs;Haltung von Schweinen
01.47;Allevamento di pollame;Raising of poultry;Haltung von Geflügel
01.47.0;Allevamento di pollame;Raising of poultry;Haltung von Geflügel
