COD_NODO_IRI;LIVELLO;LEMMA_NODO_IT;LEMMA_NODO_EN;COLLEG_MAPPA_CLAIST_SINT;COLLE_CLASS_TITOLI;DEFINIZIONE_IT;DESCRIZIONE_IT;ALT_LAB_IT;DEFINIZIONE_EN;ALT_LAB_EN;NOTE
CPS_6;1;Corso di alfabetizzazione e di apprendimento della lingua italiana;Literacy and Italian language learning course;"103.01; 103.02";CTS_1_10_30;Percorso formativo attivato dai Centri provinciali per l’istruzione degli adulti (CPIA), rivolto principalmente a cittadini stranieri adulti e finalizzato all’acquisizione delle competenze linguistiche di base in lingua italiana, strutturato secondo i livelli del Quadro comune europeo di riferimento per le lingue (QCER) con obiettivo minimo il livello A2, della durata di 200 ore, necessario per l’accesso ai percorsi di primo livello dei CPIA, corrispondenti alla scuola secondaria di 1° grado. Prima del d.p.r. 263/2012 i corsi erano organizzati dai Centri territoriali permanenti (CTP) e rilasciavano attestazioni locali non uniformi, dopo il 2012 i percorsi sono regolamentati a livello nazionale e finalizzati a certificare formalmente il livello A2, con il rilascio di una certificazione linguistica riconosciuta, utile anche ai fini della cittadinanza italiana (la cui concessione è subordinata al raggiungimento di un livello non inferiore al B1, ai sensi dell’art. 14, co.1, d.l. 113/2018).;"Art. 14, co. 1, decreto-legge 4 ottobre 2018, n. 113 ""Disposizioni urgenti in materia di protezione internazionale e immigrazione, sicurezza pubblica, nonché misure per la funzionalità del Ministero dell’interno e l’organizzazione e il funzionamento dell’Agenzia nazionale per l’amministrazione e la destinazione dei beni sequestrati e confiscati alla criminalità organizzata"" (c.d. decreto sicurezza 2018), convertito dalla Legge 1° dicembre 2018, n. 132;
Art. 4, co. 1, let. c), decreto del Presidente della Repubblica 29 ottobre 2012 , n. 263 ""Regolamento recante norme generali per la ridefinizione dell'assetto organizzativo didattico dei Centri d'istruzione per gli adulti, ivi compresi i corsi serali, a norma dell'articolo 64, comma 4, del decreto-legge 25 giugno 2008, n. 112, convertito, con modificazioni, dalla legge 6 agosto 2008, n. 133"";
Decreto ministro dell'istruzione, dell'università e della ricerca, di concerto con il ministro dell'economia e delle finanze 12 marzo 2015, ""Linee guida per il passaggio al nuovo ordinamento a sostegno dell’autonomia organizzativa e  didattica dei Centri provinciali per l’istruzione degli adulti"".";;;;
CPS_7;1;Scuola media;Secondary school;201.01 ;CTS_2_10_10;Percorso educativo della durata di tre anni, a cui si può accedere dopo il conseguimento della licenza elementare. Rappresenta il secondo livello del primo ciclo di istruzione dell'obbligo all'interno del sistema nazionale di istruzione e formazione. La scuola media promuove la formazione dell'alunno orientandolo alla scelta dell'attività successiva. Non è ammessa abbreviazione alcuna della durata triennale del corso. La scuola media ha prima affiancato (legge 899/1940) e ha poi completamente sostituito (legge 1859/1962) l'avviamento professionale (conosciuto inizialmente come scuola complementare). Il percorso non è più in vigore nel sistema educativo attuale ed è stato sostituito dalla scuola secondaria di 1° grado.;"Artt. 109 e 161, decreto legislativo 16 aprile 1994, n. 297 ""Testo Unico delle disposizioni legislative vigenti in materia di istruzione, relative alle scuole di ogni ordine e grado"";
Legge 31 dicembre 1962, n. 1859 ""Istituzione e ordinamento della scuola media statale"";
Legge 1° luglio 1940, n. 899 ""Istituzione della scuola media"" (c.d. riforma Bottai).";Scuola media inferiore.;;;
CPS_8;1;Scuola secondaria di 1° grado;Lower secondary school;"202.01; 202.02";CTS_2_10_20;Percorso educativo triennale che costituisce il secondo segmento del primo ciclo di istruzione, successivo alla scuola primaria. Attraverso un curricolo integrato e coerente con le Indicazioni Nazionali per il curricolo, concorre alla crescita delle capacità autonome di studio, al rafforzamento delle attitudini, all’interazione sociale e allo sviluppo delle conoscenze, delle abilità e delle competenze, orientando gli alunni ai fini della prosecuzione degli studi nel secondo ciclo di istruzione. Il percorso si chiude con l’esame di Stato conclusivo del primo ciclo, finalizzato alla verifica delle competenze acquisite, il cui superamento costituisce titolo e consente l’accesso alla scuola secondaria di 2° grado. La scuola secondaria di 1° grado ha sostituito il precedente ordinamento della scuola media.;"Artt. 8 e 9, decreto legislativo 13 aprile 2017, n. 62 ""Norme in materia di valutazione e certificazione delle competenze nel primo ciclo ed esami di Stato, a norma dell'articolo 1, commi 180 e 181, lettera i), della legge 13 luglio 2015, n. 107"" (c.d. La buona scuola);
Art. 4, decreto legislativo 19 febbraio 2004, n. 59 ""Definizione delle norme generali relative alla scuola dell'infanzia e al primo ciclo dell'istruzione, a norma dell'articolo 1 della legge 28 marzo 2003, n. 53"";
Decreto del Ministro dell'istruzione, dell'università e della ricerca 16 novembre 2012, n. 254 ""Regolamento recante indicazioni nazionali per il curricolo della scuola dell'infanzia e del primo ciclo d'istruzione, a norma dell'articolo 1, comma 4, del decreto del Presidente della Repubblica 20 marzo 2009, n. 89"";
Decreto del Presidente della Repubblica 20 marzo 2009, n. 89 ""Revisione dell'assetto ordinamentale, organizzativo e didattico della scuola dell'infanzia e del primo ciclo di istruzione ai sensi dell'articolo 64, comma 4, del decreto-legge 25 giugno 2008, n. 112, convertito, con modificazioni, dalla legge 6 agosto 2008, n. 133"" (c.d. riforma Gelmini).";;;;
CPS_9;1;Percorso di istruzione di 1° livello per adulti;Level 1 education programme for adults;"203.01; 203.02";CTS_2_10_20;"Percorsi formativi istituiti dai Centri provinciali per l’istruzione degli adulti (CPIA), rivolti a cittadini italiani e stranieri di età non inferiore a 16 anni (e, in via residuale, a quindicenni con particolare e motivata necessità), non in possesso del titolo conclusivo del primo ciclo di istruzione. Tali percorsi si inseriscono a cavallo tra il primo ciclo d’istruzione e l’obbligo scolastico del secondo ciclo e sono divisi in due periodi: Il primo, finalizzato al conseguimento del diploma conclusivo del primo ciclo d’istruzione (licenza media), con una durata di 396 ore, incrementabile di 200 ore in assenza di certificazione della scuola primaria o per deficit di alfabetizzazione; il secondo, finalizzato alla certificazione delle competenze di base relative all’obbligo di istruzione, con una durata di ulteriori 825 ore.";"Artt. 8 e 9, decreto legislativo 13 aprile 2017, n. 62 ""Norme in materia di valutazione e certificazione delle competenze nel primo ciclo ed esami di Stato, a norma dell'articolo 1, commi 180 e 181, lettera i), della legge 13 luglio 2015, n. 107"" (c.d. La buona scuola);
Art. 4, decreto del Presidente della Repubblica 29 ottobre 2012 , n. 263 ""Regolamento recante norme generali per la ridefinizione dell'assetto organizzativo didattico dei Centri d'istruzione per gli adulti, ivi compresi i corsi serali, a norma dell'articolo 64, comma 4, del decreto-legge 25 giugno 2008, n. 112, convertito, con modificazioni, dalla legge 6 agosto 2008, n. 133"";
Artt. 169-172 del  decreto legislativo 16 aprile 1994, n. 297 ""Testo Unico delle disposizioni legislative vigenti in materia di istruzione, relative alle scuole di ogni ordine e grado"".";;;;
CPS_10;1;Corso pre-accademico intermedio AFAM;Intermediate pre-academic AFAM course;204.01;;Percorso formativo non ordinamentale, attivato dalle Istituzioni AFAM (conservatori, accademie di belle arti, istituti superiori di studi musicali e coreutici), accessibile indicativamente tra gli 11 e i 15 anni, previo accertamento di requisiti pratico-teorici minimi, e finalizzato al consolidamento delle competenze tecniche e teoriche di base e allo sviluppo di una metodologia di studio strutturata. Il corso ha una durata variabile, generalmente compresa tra i tre e i cinque anni, in funzione dell'età e delle attitudini dello studente. Al termine del ciclo, previo superamento delle verifiche di profitto, viene rilasciata una certificazione intermedia che attesta il possesso delle abilità tecniche necessarie per l’accesso al corso pre-accademico superiore, ma che non costituisce di per sé titolo di idoneità per l'ingresso diretto ai corsi accademici di primo livello. Il percorso non è più in vigore nel sistema educativo attuale.;"Art. 7, co. 2, decreto del Presidente della Repubblica 8 luglio 2005, n. 212 ""Regolamento recante disciplina per la definizione degli ordinamenti didattici delle Istituzioni di alta formazione artistica, musicale e coreutica, a norma dell'articolo 2 della legge 21 dicembre 1999, n. 508"";
Decreto del ministro dell'istruzione, dell'università e della ricerca 30 settembre 2009, n. 123 ""Ordinamenti didattici dei corsi di studio per il conseguimento del diploma accademico di primo livello nelle Accademie di Belle Arti"";
Legge 21 dicembre 1999, n. 508 ""Riforma delle Accademie di belle arti, dell'Accademia nazionale di danza, dell'Accademia nazionale di arte drammatica, degli Istituti superiori per le industrie artistiche, dei Conservatori di musica e degli Istituti musicali pareggiati"".";;;;
CPS_11;1;Istituto professionale (triennio di qualifica);Vocational school (3-year qualification);301.01;CTS_3_10_10;Percorso del secondo ciclo del sistema educativo di istruzione e formazione di durata triennale, accessibile agli studenti in possesso del titolo conclusivo del primo ciclo di istruzione, finalizzato a fornire la specifica preparazione teorico-pratica per l'esercizio di mansioni qualificate nei settori commerciale e dei servizi, industriale ed artigiano, agrario e nautico. Tale percorso si conclude con il rilascio del diploma di qualifica professionale, valido per l’inserimento nel mondo del lavoro e per l’eventuale prosecuzione degli studi nel biennio post-qualifica (4° e 5° anno) per il conseguimento del diploma di maturità professionale. Il percorso non è più in vigore nel sistema educativo attuale.;"Art. 191, decreto legislativo 16 aprile 1994, n. 297 ""Testo Unico delle disposizioni legislative vigenti in materia di istruzione, relative alle scuole di ogni ordine e grado"".";;;;
CPS_12;1;Istituto d'arte (1° ciclo triennale);Art Institute (first 3-year cycle);302.01;CTS_3_10_20;Percorso del secondo ciclo del sistema educativo di istruzione e formazione di durata triennale, accessibile agli studenti in possesso del titolo conclusivo del primo ciclo di istruzione, finalizzato ad addestrare al lavoro e alla produzione artistica, a seconda delle tradizioni, delle industrie e delle materie proprie del luogo. Il percorso si conclude con il rilascio della licenza di maestro d'arte, titolo che consente l’inserimento nel mondo del lavoro e l’accesso al biennio post-licenza per il conseguimento del diploma di maturità d’arte applicata. Il percorso non è più in vigore nel sistema educativo attuale.;"Art. 191, decreto legislativo 16 aprile 1994, n. 297 ""Testo Unico delle disposizioni legislative vigenti in materia di istruzione, relative alle scuole di ogni ordine e grado"".";;;;
CPS_13;1;Scuola magistrale triennale;Three-year teacher training college;303.01;CTS_3_10_30;Percorso del secondo ciclo del sistema educativo di istruzione e formazione di durata triennale, accessibile agli studenti in possesso del titolo conclusivo del primo ciclo di istruzione. Fino all'attuazione dell'articolo 3 della legge 19 novembre 1990, n. 341, concernente la riforma degli ordinamenti didattici universitari, la scuola magistrale ha quale obiettivo precipuo quello di preparare i docenti della scuola materna. Il titolo di abilitazione all'insegnamento della scuola materna, a differenza del diploma degli istituti magistrali quadriennali, non dà accesso alla Facoltà di magistero. Il percorso non è più in vigore nel sistema educativo attuale.;"Art. 191, decreto legislativo 16 aprile 1994, n. 297 ""Testo Unico delle disposizioni legislative vigenti in materia di istruzione, relative alle scuole di ogni ordine e grado"".";;;;
CPS_14;1;Corso serale per adulti (triennale) - Istituto professionale;Evening course for adults (3  years) - Vocational school;304.01;CTS_3_10_10;Percorso di istruzione secondaria di secondo grado, rivolto a studenti lavoratori e adulti che intendono conseguire una qualifica professionale riconosciuta dallo Stato. Tale corso si articola in tre anni scolastici e si conclude con il rilascio del diploma di qualifica professionale, ai sensi dell’art. 195 del d.lgs. 297/1994, valido per l’inserimento nel mondo del lavoro e per l’eventuale prosecuzione degli studi nel biennio post-qualifica (4° e 5° anno) per il conseguimento del diploma di maturità professionale. Il corso serale è organizzato in orario pomeridiano-serale, con una rimodulazione del monte ore e dei contenuti didattici, tenendo conto delle esigenze formative e lavorative degli adulti, e prevede il riconoscimento di esperienze scolastiche, lavorative e personali pregresse. Il percorso non è più in vigore nel sistema educativo attuale.;"Artt. 191 e 193 ter, decreto legislativo 16 aprile 1994, n. 297 ""Testo Unico delle disposizioni legislative vigenti in materia di istruzione, relative alle scuole di ogni ordine e grado"".";;;;
CPS_15;1;Corso serale per adulti (triennale) - Istituto d'arte;Evening course for adults (3  years) - Art Institute;305.01;CTS_3_10_20;Percorso di istruzione secondaria di secondo grado, rivolto a studenti lavoratori e adulti finalizzati al conseguimento della licenza di maestro d’arte. Tale corso si articola in tre anni scolastici e riproduce, in forma adattata e flessibile, il curricolo dei corsi diurni, con una rimodulazione dell’orario, il riconoscimento di esperienze pregresse e una didattica individualizzata. Il titolo rilasciato al termine del triennio, previo superamento dell’esami di licenza di maestro d'arte, è valido ai fini dell’inserimento nel mondo del lavoro e consente l’accesso al biennio post-licenza per il conseguimento del diploma di maturità d’arte applicata. Il percorso non è più in vigore nel sistema educativo attuale.;"Artt. 191 e 193 ter, decreto legislativo 16 aprile 1994, n. 297 ""Testo Unico delle disposizioni legislative vigenti in materia di istruzione, relative alle scuole di ogni ordine e grado"".";;;;
